,unit,ticker,exchangeCD,utcOffset,currencyCD,barTime,closePrice,openPrice,highPrice,lowPrice,totalVolume,totalValue
19,1,1,XSHE,+08:00,CNY,9:49,8.7,8.69,8.7,8.68,340014,2957695.94
20,1,1,XSHE,+08:00,CNY,9:50,8.69,8.69,8.7,8.68,72820,632637.8
21,1,1,XSHE,+08:00,CNY,9:51,8.7,8.7,8.7,8.69,139600,1213903
22,1,1,XSHE,+08:00,CNY,9:52,8.7,8.7,8.7,8.69,133700,1162503
23,1,1,XSHE,+08:00,CNY,9:53,8.69,8.69,8.7,8.68,125080,1087768.2
24,1,1,XSHE,+08:00,CNY,9:54,8.69,8.69,8.7,8.68,140000,1216809
25,1,1,XSHE,+08:00,CNY,9:55,8.69,8.7,8.7,8.69,137400,1194233
26,1,1,XSHE,+08:00,CNY,9:56,8.7,8.69,8.7,8.69,139200,1210062
27,1,1,XSHE,+08:00,CNY,9:57,8.7,8.69,8.7,8.69,177400,1541819
28,1,1,XSHE,+08:00,CNY,9:58,8.7,8.69,8.7,8.69,154020,1339092.8
29,1,1,XSHE,+08:00,CNY,9:59,8.69,8.69,8.71,8.69,319000,2775387
30,1,1,XSHE,+08:00,CNY,10:00,8.7,8.7,8.7,8.69,191000,1661548
31,1,1,XSHE,+08:00,CNY,10:01,8.69,8.7,8.7,8.69,227900,1982538
32,1,1,XSHE,+08:00,CNY,10:02,8.7,8.69,8.71,8.69,214880,1869714
33,1,1,XSHE,+08:00,CNY,10:03,8.71,8.71,8.71,8.7,139700,1215663
34,1,1,XSHE,+08:00,CNY,10:04,8.7,8.71,8.71,8.7,96320,838400
35,1,1,XSHE,+08:00,CNY,10:05,8.69,8.7,8.7,8.69,198300,1724954
36,1,1,XSHE,+08:00,CNY,10:06,8.69,8.69,8.7,8.69,103900,903175
37,1,1,XSHE,+08:00,CNY,10:07,8.7,8.69,8.7,8.69,243120,2115161
38,1,1,XSHE,+08:00,CNY,10:08,8.7,8.71,8.71,8.7,171980,1497418.8
